Price,Close,High,Low,Open,Volume
Ticker,QCOM,QCOM,QCOM,QCOM,QCOM
Date,,,,,
2024-03-11,163.91786193847656,164.741666668123,161.04412654899934,161.88709360721637,7256300
2024-03-12,165.7953643798828,166.58084439974803,163.40058504914134,165.63252113938117,7642200
2024-03-13,162.12657165527344,164.2818731986966,161.50393483380304,164.01365906484097,8730500
2024-03-14,161.3602294921875,162.79709710051787,159.69347242113108,162.46183676185134,8151000
2024-03-15,160.162841796875,161.66677026145877,158.86966970334856,160.0670593917471,16414600
2024-03-18,159.89462280273438,164.24355020373244,159.3486207220838,163.71669583357988,6653700
2024-03-19,157.19334411621094,159.45401671986366,156.7431243668319,159.09957938778481,7404400
2024-03-20,160.61306762695312,161.0920235206161,156.9346898715992,157.1933301468179,5995800
2024-03-21,163.6592254638672,165.6420951509734,162.49057198003723,163.55385458855227,8497500
2024-03-22,162.9407958984375,164.66502536974812,162.17446356864752,162.41394150817104,5645500
2024-03-25,160.46937561035156,161.66676526171938,159.94252124043513,160.81422441460842,5682500
2024-03-26,160.03831481933594,162.2893985455793,159.97125398434574,160.97706419319059,5289900
2024-03-27,162.01162719726562,162.34688755687824,159.94253420402137,162.31815137224214,6309700
2024-03-28,162.1744384765625,162.73960281841659,160.90998813556232,161.98285907790006,5324000
2024-04-01,164.4925994873047,165.5271458848027,161.13033465786563,161.1878070216312,6679100
2024-04-02,163.84121704101562,164.18606585094767,162.15529764611068,163.2952149516242,7436300
2024-04-03,166.59043884277344,166.63833735441972,162.20320119761467,162.8450003272686,6943200
2024-04-04,162.6150665283203,168.5445416189855,162.2798062412023,167.63452853027817,9031200
2024-04-05,164.31060791015625,164.99073171127583,162.56721605572508,163.01742114906682,5863300
2024-04-08,166.31263732910156,167.05023348685526,165.10567375724668,165.65167586716663,4812000
2024-04-09,168.18057250976562,168.5828936896915,166.073154972192,167.8931960622262,5028500
2024-04-10,163.66880798339844,166.39886241416937,162.9120641054026,165.16314802764506,6177400
2024-04-11,167.7590789794922,168.23803482458496,163.32394317663008,164.44469810015843,6262600
2024-04-12,164.08071899414062,166.09233978264365,163.7646209372897,165.02905701441924,8216700
2024-04-15,162.6917266845703,167.04065417669403,161.4847631521266,166.9352833004556,6570600
