Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2024-03-11,96.7988510131836,97.45005052878754,95.22831229430203,95.66882853923138,8537400
2024-03-12,95.93697357177734,97.07657461413874,95.42942237665271,96.52113819800806,7040900
2024-03-13,97.0669937133789,97.6798865345854,96.08061955757027,96.34875925356577,7326400
2024-03-14,96.01358795166016,98.14913439446765,95.85078258238622,97.87141618365798,8350900
2024-03-15,95.41984558105469,96.8754715731182,95.1325488623882,96.05189543961731,15208500
2024-03-18,94.5579605102539,95.43900035054891,94.34727722901508,94.78780080229203,7207000
2024-03-19,95.7262954711914,95.8029089064447,94.27067673267547,94.32813315598578,6168900
2024-03-20,96.02315521240234,96.18596057499856,94.83567629226594,95.2378858336617,7771700
2024-03-21,96.54986572265625,97.60327482097992,95.53476333961365,96.18596288687428,17176000
2024-03-22,89.88465118408203,91.13916506476075,87.83528939608004,89.87507267864494,41837400
2024-03-25,89.77930450439453,91.47433455868375,88.84080829322151,90.08575090485252,14548800
2024-03-26,88.65885925292969,89.88464483699885,88.49606120328953,89.76972469864546,10816900
2024-03-27,90.1432113647461,90.16236837540434,88.4098745193754,89.31963525665356,11095700
2024-03-28,89.99956512451172,90.7944056707668,89.47285695567544,90.3730464419562,11331700
2024-04-01,88.63970947265625,89.94210858851497,87.80656214698446,89.83676694633088,10360000
2024-04-02,87.097900390625,88.00766847033948,86.80103246994655,87.87359861543572,11107300
2024-04-03,86.50416564941406,87.56715330271213,86.4562804265141,87.15536522705378,8876600
2024-04-04,85.29752349853516,87.19366567259914,85.12514693725662,87.09789523368762,12110300
2024-04-05,85.07726287841797,86.42754717789681,85.03896346984132,85.37413809182794,9716700
2024-04-08,86.18814086914062,86.43713087740406,85.03896858005578,85.33583650504653,8452500
2024-04-09,87.14578247070312,87.29900933150202,86.06364516478165,86.18813650948661,7191900
2024-04-10,85.23049926757812,86.2839084714311,85.01023745921106,86.0923821820977,7932900
2024-04-11,88.10343170166016,88.49607006733498,86.98298763895646,87.36604749891116,15330200
2024-04-12,88.10343170166016,88.9365863490922,87.26070585476714,88.11301020738028,10905900
2024-04-15,89.1568374633789,89.94210685875687,88.62055806348923,89.62608193828238,11597300
2024-04-16,89.43456268310547,90.20068243411427,87.76826062685967,89.0993880318864,10388200
2024-04-17,90.82313537597656,91.04339715191848,89.69312020649765,90.60288090629318,10181200
2024-04-18,91.6850357055664,91.81910557526642,90.5262847995821,91.12960651949206,10062900
2024-04-19,90.52628326416016,92.1447074861371,90.48797654400131,91.3785876954799,11241900
2024-04-22,90.20067596435547,91.03382327959011,89.87507253634026,90.6220352215543,8642000
2024-04-23,90.03787231445312,90.70822888785378,89.93253797783862,90.37305425428298,6582700
2024-04-24,90.63162231445312,91.15833056868165,90.11449256655409,90.11449256655409,6493200
2024-04-25,89.96127319335938,90.77527088291704,88.52480410369539,90.01872961894286,5317900
2024-04-26,90.13363647460938,91.37857178483708,89.93253170848625,90.58372391902292,6115700
2024-04-29,90.076171875,90.87101973308201,89.73141876321162,90.44008199647577,5030700
2024-04-30,88.3524169921875,89.54947442426038,88.34283848697847,88.97488831811714,6493300
2024-05-01,86.51373291015625,87.97893737283164,86.2743214190749,87.92147364671607,9783100
2024-05-02,88.49607849121094,88.53437790521888,87.05960935933874,87.46181896276059,7333300
2024-05-03,88.24708557128906,89.68355465609704,87.97894584445977,89.14726789617889,5736700
2024-05-06,89.40583038330078,89.4154088889718,88.56310454072903,88.8791221652815,6696300
2024-05-07,89.80804443359375,90.32517417178018,89.26218648321799,90.09534116800603,7113500
2024-05-08,89.62608337402344,89.67396859532018,88.80251455653942,89.17599590262532,5372900
2024-05-09,89.43456268310547,89.99957764338284,89.07065981981897,89.67397419201329,6429800
2024-05-10,87.08833312988281,89.19515149330532,87.03086939928295,89.12811656282167,10548400
2024-05-13,88.79293060302734,88.8408085151275,87.28942680542198,87.4043396394692,8792100
