date,spy_return,spy_cumulative,ai_daily_return,ai_cumulative,signal,stock_return
2024-03-12,0.0,1.0,0.0,1.0,0,0.0
2024-03-13,-0.001567654588799594,0.9984323454112004,-0.0,1.0,1,-0.01212257718894405
2024-03-14,-0.001976675783351922,0.9964587683727109,0.010927360365894367,1.0109273603658944,1,0.010927360365894367
2024-03-15,-0.00686654192276781,0.98961654246537,-0.0021966136548198234,1.0087067435220838,1,-0.0021966136548198234
2024-03-18,0.005943107549627458,0.9954979400101321,0.006372339662589432,1.015134565511751,1,0.006372339662589432
2024-03-19,0.005557073200621154,1.001029994933836,0.013585162868881895,1.0289253339180597,1,0.013585162868881895
2024-03-20,0.009249474605927954,1.0102889964517487,0.014709362226734912,1.0440601693589247,1,0.014709362226734912
2024-03-21,0.0033046321332648176,1.0136276299333071,-0.04085760465506094,1.0014023717231617,1,-0.04085760465506094
2024-03-22,-0.0018958211757541532,1.0117059732081501,0.005310246580856548,1.0067200652436663,1,0.005310246580856548
2024-03-25,-0.0027627034023857133,1.008910929673754,-0.00830050561655149,0.9983637796878162,1,-0.00830050561655149
2024-03-26,-0.001847104647271114,1.007047365606871,-0.0066724081557022474,0.9917022890618695,1,-0.0066724081557022474
2024-03-27,0.008403786517118705,1.015510376680058,0.02121267218590628,1.0127389446257518,1,0.02121267218590628
2024-03-28,-0.00019116131571905726,1.0153162503803255,-0.010559267778467829,1.0020451629197655,1,-0.010559267778467829
2024-04-01,-0.0017397932941282113,1.0135498099764944,-0.008455781435155463,0.9935720880339612,1,-0.008455781435155463
2024-04-02,-0.006358020206171711,1.0071056398047022,-0.006998721042683065,0.9866183541540154,0,-0.006998721042683065
2024-04-03,0.0010985566264991586,1.0082120023788943,0.0,0.9866183541540154,0,0.004797495372905747
2024-04-04,-0.012206088098995038,0.9959056778553933,-0.0,0.9866183541540154,1,-0.004892488240284432
2024-04-05,0.010446804601187631,1.006309709873162,0.004501912895706228,0.9910600240457219,1,0.004501912895706228
2024-04-08,0.000559364227412873,1.0068726035265632,-0.006663630961109557,0.9844559657851728,1,-0.006663630961109557
2024-04-09,0.001156687318677907,1.0080372402985864,0.007242520458911494,0.9915859082582694,0,0.007242520458911494
2024-04-10,-0.010013061480686147,0.9979437014366555,-0.0,0.9915859082582694,1,-0.011139365811103086
2024-04-11,0.007546989957094352,1.0054751725291435,0.04327110946654056,1.0344929306399921,1,0.04327110946654056
2024-04-12,-0.013803184835544768,0.9915964128751725,0.0086266107105899,1.0434170984354807,0,0.0086266107105899
2024-04-15,-0.012528093329782442,0.9791736004691949,-0.0,1.0434170984354807,1,-0.02186353760948323
2024-04-16,-0.0018238493517245269,0.9773877353327534,-0.019167224756300394,1.023417688395201,0,-0.019167224756300394
2024-04-17,-0.005918219248078005,0.9716033404246717,-0.0,1.023417688395201,1,-0.008147357872130945
2024-04-18,-0.002057665454663238,0.9696041057954444,-0.005714454879003794,1.0175694141924922,1,-0.005714454879003794
2024-04-19,-0.008728378454451402,0.9611410342090718,-0.012212488787520126,1.005142359131143,1,-0.012212488787520126
2024-04-22,0.009209120574001473,0.9699922978817236,0.0050908382362424565,1.0102593762858747,1,0.0050908382362424565
2024-04-23,0.011866605171472866,0.9815028135000557,0.006391643075928988,1.0167165936332045,1,0.006391643075928988
2024-04-24,-0.00047454778931144137,0.9810370435097063,0.012702283383141166,1.0296312159258756,1,0.012702283383141166
2024-04-25,-0.00379904829491573,0.9773100364023116,0.005147310352241252,1.0349310473426017,1,0.005147310352241252
2024-04-26,0.009473965449078081,0.9865690379202243,-0.003472788364378032,1.0313369508434567,1,-0.003472788364378032
2024-04-29,0.003541537079474244,0.9900630087494801,0.024807961306681614,1.056922318014132,1,0.024807961306681614
2024-04-30,-0.015841282670762236,0.9743791407660142,-0.018270851090189666,1.0376114477277978,1,-0.018270851090189666
2024-05-01,-0.0032471881788588286,0.9712151483383922,-0.006047058268373373,1.0313369508434564,1,-0.006047058268373373
2024-05-02,0.009353477911816732,0.9802993877759971,0.022031835768036467,1.054059197165947,1,0.022031835768036467
2024-05-03,0.012395303265201774,0.9924504959781723,0.059816110880927864,1.1171089189786871,1,0.059816110880927864
2024-05-06,0.01032677774657298,1.002699311674615,-0.00910668474843368,1.1069357602238847,1,-0.00910668474843368
2024-05-07,0.001103565247193794,1.0038058557883642,0.0037972583340635246,1.1111390812646678,1,0.0037972583340635246
2024-05-08,9.651429083668006e-05,1.0039027373986733,0.0018640957531674829,1.1132103509072317,1,0.0018640957531674829
2024-05-09,0.005761907695430946,1.0096871323067549,0.010014121961166245,1.1243581751296494,1,0.010014121961166245
2024-05-10,0.001288191531678029,1.0109878027202368,-0.006890195353456252,1.1166111276557507,1,-0.006890195353456252
2024-05-13,0.00013431575371170013,1.0111235943089525,0.017645478573449447,1.1363142653836755,1,0.017645478573449447
2024-05-14,0.004587966649400643,1.015762595638064,0.006173585993408004,1.1433293992165579,1,0.006173585993408004
2024-05-15,0.01238320042540697,1.0283409874444818,0.012217923131915276,1.1572985099306445,1,0.012217923131915276
2024-05-16,-0.0020577076120352755,1.0262249623668493,0.0006324328898170695,1.158030423571661,1,0.0006324328898170695
2024-05-17,0.0014377281277455634,1.0277003948606387,0.00015794754375764164,1.1582133316326608,1,0.00015794754375764164
2024-05-20,0.0011519699427937624,1.0288842748257154,0.006162220848520583,1.165350497971882,1,0.006162220848520583
2024-05-21,0.0024526770715569413,1.031407795695866,0.0068571804804460346,1.173341516659453,0,0.0068571804804460346
2024-05-22,-0.002879429591557292,1.0284379295679764,-0.0,1.173341516659453,1,-0.007538429610945752
2024-05-23,-0.0073040322395584445,1.0209261857740273,-0.02105800292473381,1.1486332875699266,1,-0.02105800292473381
2024-05-24,0.006616270534479662,1.0276809096148427,0.016588150747274044,1.1676869896974735,1,0.016588150747274044
2024-05-28,0.000698826339181613,1.0283990801027556,5.261038143666852e-05,1.1677484221554002,1,5.261038143666852e-05
2024-05-29,-0.007002448067707001,1.0211977689514584,0.001578956825012412,1.1695922464964599,1,0.001578956825012412
2024-05-30,-0.006633769512759957,1.0144233783252898,0.005255134590451016,1.1757386111677468,1,0.005255134590451016
2024-05-31,0.00910820568878834,1.023662955110592,0.005018742512159058,1.1816393405188013,1,0.005018742512159058
2024-06-03,0.0008154235526527387,1.0244976739941674,0.009258632723012417,1.1925797051837275,1,0.009258632723012417
2024-06-04,0.0011177687907897305,1.0256428255203947,0.0016491843353005908,1.1945464889521138,1,0.0016491843353005908
2024-06-05,0.011885128868351469,1.0378327226746047,0.007821004687887267,1.2038890426421076,1,0.007821004687887267
2024-06-06,-1.8774938745358405e-05,1.0378132374288085,-0.007096550327287954,1.1953455834625273,1,-0.007096550327287954
2024-06-07,-0.0012156126459166305,1.0365516585332903,0.012392050870582594,1.2101583667407212,1,0.012392050870582594
2024-06-10,0.003089784131939055,1.0397543793997617,-0.019147783636722315,1.1869865161682005,1,-0.019147783636722315
2024-06-11,0.0024082953377893013,1.042258415024116,0.07264909593214641,1.2732200134514684,1,0.07264909593214641
2024-06-12,0.008213005622847325,1.050818489247169,0.028578433788671642,1.3096066473043029,1,0.028578433788671642
2024-06-13,0.0020134619313800783,1.0529342722720585,0.005491106072353036,1.3167978363177095,1,0.005491106072353036
2024-06-14,0.0006085029494118377,1.053574985882273,-0.008168423053229512,1.3060416745150891,1,-0.008168423053229512
2024-06-17,0.007958913466157735,1.0619602980250182,0.01967158093762955,1.3317335790232299,1,0.01967158093762955
2024-06-18,0.0025407370963912435,1.0646584599491051,-0.010984472888090457,1.3171051876302895,1,-0.010984472888090457
2024-06-20,-0.002716748477562536,1.0617660506989144,-0.021512882277170076,1.2887704587821491,1,-0.021512882277170076
2024-06-21,-0.0013405883086473613,1.0603426595448286,-0.010444534580823395,1.2753098511586554,1,-0.010444534580823395
2024-06-24,-0.0032506765870132792,1.056895828487235,0.0031327202671704857,1.2793050401763022,1,0.0031327202671704857
2024-06-25,0.0038508959296206235,1.0609658243311895,0.004468093028533682,1.2850210941076818,1,0.004468093028533682
2024-06-26,0.0012482886365465795,1.0622902159134664,0.01999322470502607,1.3107128095928753,1,0.01999322470502607
2024-06-27,0.0015763308836556078,1.063964736788216,0.003986070960571686,1.3159374038608427,1,0.003986070960571686
2024-06-28,-0.003935079939771491,1.0597779504958564,-0.0162542330190677,1.2945478506599815,1,-0.0162542330190677
2024-07-01,0.0020579935995610477,1.0619589667349327,0.02910466154680913,1.3322252277095894,1,0.02910466154680913
2024-07-02,0.00672975932372144,1.0691056949927267,0.016239958966820955,1.3538605107421569,1,0.016239958966820955
2024-07-03,0.004462590190542848,1.0738766755798548,0.005811099847837564,1.3617279293501239,1,0.005811099847837564
2024-07-05,0.005766543297254234,1.0800692319254974,0.021620314171155508,1.3911689149983106,1,0.021620314171155508
2024-07-08,0.0011538228379379678,1.0813154404718472,0.0065388427941917016,1.400265549833651,1,0.0065388427941917016
2024-07-09,0.0009726293809735331,1.0823671596393505,0.0037748823454055724,1.4055513875365977,1,0.0037748823454055724
2024-07-10,0.009895078223380871,1.0930772673504003,0.018803498228924465,1.4319806705628044,0,0.018803498228924465
2024-07-11,-0.008622381010588431,1.0836523386772923,-0.0,1.4319806705628044,1,-0.023220766140675475
